,0
"('K04031', 404.0, '2021-04-10')",0
"('K04031', 404.0, '2021-05-30')",0
"('K04031', 404.0, '2021-03-10')",0
"('K04031', 404.0, '2021-05-10')",0
"('K04031', 404.0, '2021-05-24')",0
"('K04031', 404.0, '2021-05-13')",0
"('K04031', 404.0, '2021-05-31')",0
"('K04031', 404.0, '2021-02-18')",0
"('K04031', 404.0, '2021-02-10')",0
"('K04031', 405.0, '2021-04-10')",0
"('K04031', 405.0, '2021-05-30')",0
"('K04031', 405.0, '2021-03-10')",0
"('K04031', 405.0, '2021-05-10')",0
"('K04031', 405.0, '2021-05-24')",0
"('K04031', 405.0, '2021-05-13')",0
"('K04031', 405.0, '2021-05-31')",0
"('K04031', 405.0, '2021-02-18')",0
"('K04031', 405.0, '2021-02-10')",0
"('K04031', 407.0, '2021-04-10')",0
"('K04031', 407.0, '2021-05-30')",0
"('K04031', 407.0, '2021-03-10')",0
"('K04031', 407.0, '2021-05-10')",0
"('K04031', 407.0, '2021-05-24')",159
"('K04031', 407.0, '2021-05-13')",0
"('K04031', 407.0, '2021-05-31')",0
"('K04031', 407.0, '2021-02-18')",0
"('K04031', 407.0, '2021-02-10')",0
"('K04031', 408.0, '2021-04-10')",0
"('K04031', 408.0, '2021-05-30')",0
"('K04031', 408.0, '2021-03-10')",0
"('K04031', 408.0, '2021-05-10')",0
"('K04031', 408.0, '2021-05-24')",341
"('K04031', 408.0, '2021-05-13')",0
"('K04031', 408.0, '2021-05-31')",0
"('K04031', 408.0, '2021-02-18')",0
"('K04031', 408.0, '2021-02-10')",0
"('K04031', 409.0, '2021-04-10')",0
"('K04031', 409.0, '2021-05-30')",0
"('K04031', 409.0, '2021-03-10')",0
"('K04031', 409.0, '2021-05-10')",0
"('K04031', 409.0, '2021-05-24')",258
"('K04031', 409.0, '2021-05-13')",0
"('K04031', 409.0, '2021-05-31')",0
"('K04031', 409.0, '2021-02-18')",0
"('K04031', 409.0, '2021-02-10')",0
"('K04031', 410.0, '2021-04-10')",0
"('K04031', 410.0, '2021-05-30')",0
"('K04031', 410.0, '2021-03-10')",0
"('K04031', 410.0, '2021-05-10')",0
"('K04031', 410.0, '2021-05-24')",126
"('K04031', 410.0, '2021-05-13')",0
"('K04031', 410.0, '2021-05-31')",0
"('K04031', 410.0, '2021-02-18')",0
"('K04031', 410.0, '2021-02-10')",0
"('K04031', 412.0, '2021-04-10')",0
"('K04031', 412.0, '2021-05-30')",0
"('K04031', 412.0, '2021-03-10')",0
"('K04031', 412.0, '2021-05-10')",0
"('K04031', 412.0, '2021-05-24')",0
"('K04031', 412.0, '2021-05-13')",0
"('K04031', 412.0, '2021-05-31')",0
"('K04031', 412.0, '2021-02-18')",0
"('K04031', 412.0, '2021-02-10')",0
"('K04031', 416.0, '2021-04-10')",0
"('K04031', 416.0, '2021-05-30')",0
"('K04031', 416.0, '2021-03-10')",0
"('K04031', 416.0, '2021-05-10')",0
"('K04031', 416.0, '2021-05-24')",185
"('K04031', 416.0, '2021-05-13')",0
"('K04031', 416.0, '2021-05-31')",0
"('K04031', 416.0, '2021-02-18')",0
"('K04031', 416.0, '2021-02-10')",0
"('K04031', 421.0, '2021-04-10')",0
"('K04031', 421.0, '2021-05-30')",0
"('K04031', 421.0, '2021-03-10')",0
"('K04031', 421.0, '2021-05-10')",0
"('K04031', 421.0, '2021-05-24')",0
"('K04031', 421.0, '2021-05-13')",0
"('K04031', 421.0, '2021-05-31')",0
"('K04031', 421.0, '2021-02-18')",0
"('K04031', 421.0, '2021-02-10')",0
"('K04031', 422.0, '2021-04-10')",0
"('K04031', 422.0, '2021-05-30')",0
"('K04031', 422.0, '2021-03-10')",0
"('K04031', 422.0, '2021-05-10')",0
"('K04031', 422.0, '2021-05-24')",0
"('K04031', 422.0, '2021-05-13')",0
"('K04031', 422.0, '2021-05-31')",0
"('K04031', 422.0, '2021-02-18')",0
"('K04031', 422.0, '2021-02-10')",0
"('K04031', 424.0, '2021-04-10')",0
"('K04031', 424.0, '2021-05-30')",0
"('K04031', 424.0, '2021-03-10')",0
"('K04031', 424.0, '2021-05-10')",0
"('K04031', 424.0, '2021-05-24')",100
"('K04031', 424.0, '2021-05-13')",0
"('K04031', 424.0, '2021-05-31')",0
"('K04031', 424.0, '2021-02-18')",0
"('K04031', 424.0, '2021-02-10')",0
"('K04031', 425.0, '2021-04-10')",0
"('K04031', 425.0, '2021-05-30')",0
"('K04031', 425.0, '2021-03-10')",0
"('K04031', 425.0, '2021-05-10')",0
"('K04031', 425.0, '2021-05-24')",10
"('K04031', 425.0, '2021-05-13')",0
"('K04031', 425.0, '2021-05-31')",0
"('K04031', 425.0, '2021-02-18')",0
"('K04031', 425.0, '2021-02-10')",0
"('K04031', 426.0, '2021-04-10')",0
"('K04031', 426.0, '2021-05-30')",0
"('K04031', 426.0, '2021-03-10')",0
"('K04031', 426.0, '2021-05-10')",0
"('K04031', 426.0, '2021-05-24')",323
"('K04031', 426.0, '2021-05-13')",0
"('K04031', 426.0, '2021-05-31')",0
"('K04031', 426.0, '2021-02-18')",0
"('K04031', 426.0, '2021-02-10')",0
"('K04031', 433.0, '2021-04-10')",0
"('K04031', 433.0, '2021-05-30')",0
"('K04031', 433.0, '2021-03-10')",0
"('K04031', 433.0, '2021-05-10')",0
"('K04031', 433.0, '2021-05-24')",319
"('K04031', 433.0, '2021-05-13')",0
"('K04031', 433.0, '2021-05-31')",0
"('K04031', 433.0, '2021-02-18')",0
"('K04031', 433.0, '2021-02-10')",0
"('K04031', 434.0, '2021-04-10')",0
"('K04031', 434.0, '2021-05-30')",0
"('K04031', 434.0, '2021-03-10')",0
"('K04031', 434.0, '2021-05-10')",0
"('K04031', 434.0, '2021-05-24')",358
"('K04031', 434.0, '2021-05-13')",0
"('K04031', 434.0, '2021-05-31')",0
"('K04031', 434.0, '2021-02-18')",0
"('K04031', 434.0, '2021-02-10')",0
"('K04031', 435.0, '2021-04-10')",0
"('K04031', 435.0, '2021-05-30')",0
"('K04031', 435.0, '2021-03-10')",0
"('K04031', 435.0, '2021-05-10')",0
"('K04031', 435.0, '2021-05-24')",279
"('K04031', 435.0, '2021-05-13')",0
"('K04031', 435.0, '2021-05-31')",0
"('K04031', 435.0, '2021-02-18')",0
"('K04031', 435.0, '2021-02-10')",0
"('K04031', 436.0, '2021-04-10')",0
"('K04031', 436.0, '2021-05-30')",0
"('K04031', 436.0, '2021-03-10')",0
"('K04031', 436.0, '2021-05-10')",0
"('K04031', 436.0, '2021-05-24')",275
