item,machine,capacity
050060,0433,1.08
050093,0404,7.13
050093,0408,4.67
050093,0410,4.5
050093,0416,3.92
050093,0417,4.17
050093,0424,4.2
050093,0433,4.15
050095,0433,4.68
050095,0434,1.51
050105,0426,2
050110,0427,2
050110,0435,1.82
050110,0436,2.02
050153,0407,5.46
050153,0408,4.43
050153,0409,5.12
050153,0410,1.11
050153,0416,4.5
050153,0424,3.7
050153,0425,4.52
050153,0426,3.33
050153,0433,1.46
050153,0434,1.25
050153,0435,2.33
050153,0436,3.6
050153,0438,1.32
050153,0439,4.49
050153,0440,4.47
050173,0433,9
050173,0435,10.52
050178,0408,3.7
050178,0416,3.6
050178,0424,4.5
050178,0425,2.8
050178,0433,3.83
050178,0435,3.42
050181,0404,13.33
050181,0410,11
050181,0424,8.98
050181,0426,11.36
050181,0433,11.71
050181,0434,8.4
050193,0409,16.07
050193,0416,17.52
050193,0426,19.75
050194,0401,25
050194,0403,28.84
050194,0406,21.13
050194,0421,20.73
050202,0404,11.06
050202,0409,5.5
050202,0422,10.32
050202,0433,14.63
050205,0416,7.17
050205,0424,7
050208,0404,6.69
050208,0408,4.95
050208,0409,5.27
050208,0410,6.7
050208,0416,8.97
050208,0418,23
050208,0424,6.37
050208,0433,6.66
050208,0435,6.52
050209,0404,6.15
050209,0410,6.18
050209,0426,6.17
050209,0433,5.63
050223,0436,2.26
050226,0425,2.88
050227,0425,5.02
050228,0426,7.95
050230,0410,1.5
050230,0417,2.12
050230,0436,2.53
050230,0439,1.95
050233,0407,2.17
050233,0417,2.17
050233,0428,2
050233,0435,1.82
050233,0436,2.02
050233,0440,2
050239,0404,35.41
050239,0420,25
050239,0422,32.65
050250,0433,5.75
050250,0436,4.85
050250,0439,5.59
050258,0425,1.82
050258,0435,1.8
050263,0403,11.2
050263,0404,9.45
050263,0405,8.63
050263,0406,14.45
050263,0407,7.27
050263,0408,8.31
050263,0409,8.79
050263,0410,10.56
050263,0416,8.1
050263,0420,12.29
050263,0421,7.37
050263,0422,10.97
050263,0424,8.18
050263,0436,8.42
050263,0437,8.33
050263,0438,12.14
050263,0440,7.22
050266,0406,32.67
050272,0437,7.57
050281,0408,6.42
050281,0409,7.43
050281,0424,9.29
050281,0426,8.05
050281,0433,540
050281,0440,7
050288,0424,1
050289,0427,7.03
050289,0433,8
050299,0421,42.95
050302,0401,1.5
050302,0407,4
050302,0408,2.79
050302,0409,3.35
050302,0410,4.4
050302,0416,3.44
050302,0424,3.27
050302,0425,3.77
050302,0433,6.17
050302,0435,2.43
050302,0436,7.71
050302,0437,1.27
050302,0438,5.45
050316,0439,2.32
050317,0419,20
050317,0437,13.45
050323,0437,12.87
050325,0404,10
050325,0408,3.47
050325,0409,3.1
050325,0424,3.32
050325,0425,3.53
050325,0426,2.82
050325,0435,1.87
050325,0437,2.7
050325,0438,1.77
050325,0440,4.04
050354,0405,10
050354,0409,9.32
050415,0405,13
050415,0422,12.59
050415,0438,9.2
050429,0418,13
050429,0421,21.83
050442,0410,4.5
050442,0424,3.78
050442,0425,4.17
050442,0433,3.75
050454,0424,1.17
050454,0439,1.5
050468,0404,3.67
050468,0425,1.35
050468,0426,1
050468,0433,1.25
050468,0434,1.5
050468,0435,1
050469,0404,4.67
050489,0429,3.32
050497,0416,15
050497,0427,7.03
050497,0433,4.5
050498,0427,7.03
050498,0433,6
050501,0416,1.67
050501,0425,2
050501,0429,2.5
050501,0440,2.5
050529,0424,1
050534,0424,1
050534,0433,1
050568,0426,14.5
050571,0404,8.17
050571,0409,4.32
050571,0410,8.36
050571,0426,4.12
050571,0433,11.17
050574,0408,3.25
050574,0409,3.27
050574,0424,4.17
050574,0425,2.6
050574,0426,4.21
050574,0435,2.77
050576,0410,3.32
050576,0426,6.46
050576,0433,2.33
050576,0435,4.5
050594,0408,2.12
050594,0409,5.82
050594,0433,7.05
050595,0405,17.32
050595,0406,13.14
050595,0437,13.22
050595,0438,3.08
050610,0404,8
050611,0433,5.16
050631,0408,4.95
050631,0416,3.8
050631,0426,5.68
050636,0403,3
050636,0406,1
050636,0440,1.9
050640,0404,6.69
050640,0412,1
050640,0424,6.22
050640,0426,1.07
050640,0429,7.32
050640,0435,1.25
050640,0436,7.21
050640,0439,6.55
050645,0408,3.15
050645,0409,2.37
050645,0426,2.92
050645,0433,3.17
050645,0435,1
050647,0427,2.33
050650,0433,6.73
050650,0434,6
050662,0403,38
050662,0421,16.55
050663,0410,10.46
050663,0416,7
050666,0433,3.89
050668,0428,1.53
050673,0433,20
050673,0434,11.5
050675,0410,1.5
050675,0416,2.03
050675,0434,4.5
050691,0407,2.75
050691,0411,2.12
050691,0427,3
050691,0434,170
050691,0435,2.39
050691,0436,2.52
050691,0440,2.22
050696,0427,0.67
050696,0434,0.52
050696,0439,3.02
050701,0424,3.67
050701,0425,4.38
050701,0433,4.67
050711,0407,5.5
050711,0416,5.47
050711,0424,5.75
050711,0433,3.57
050711,0434,5.97
050711,0436,5.94
050711,0438,5.87
050711,0440,5.75
050713,0407,2.7
050713,0409,3.26
050713,0424,4.35
050713,0425,3.16
050713,0435,2.57
050713,0436,4.35
050713,0440,2.62
050758,0426,1.37
050761,0426,4.32
050761,0434,4.08
050766,0417,1.97
050766,0426,2
050826,0436,20
050828,0404,25.33
050828,0405,28.67
050829,0404,19.74
050829,0405,34.71
050829,0422,37.92
050830,0401,20
050830,0405,10
050830,0406,30
050830,0422,11.32
050830,0437,6.25
050834,0401,5
050845,0424,2.33
050854,0424,1
050863,0424,1.67
050867,0407,5.17
050867,0436,6
050868,0407,3.67
050868,0439,3.67
050869,0424,2
050869,0439,2.3
050873,0407,3.55
050873,0409,3.85
050873,0416,3.54
050873,0424,4.17
050873,0426,4.12
050874,0409,3.52
050874,0416,3.13
050874,0426,3.82
050874,0435,3.42
050874,0439,3.82
050875,0408,2.53
050875,0435,3.07
050875,0439,3.11
050897,0407,6
050897,0436,7
050927,0403,6
050927,0404,6.26
050927,0408,6.25
050927,0409,5.57
050927,0422,7.6
050927,0436,6.17
050927,0439,6.28
050927,0440,5.92
050928,0404,7.6
050928,0405,7.67
050928,0408,8.19
050928,0416,8
050928,0424,9.67
050928,0425,8.55
050928,0426,8.17
050928,0436,8.35
050928,0439,6.62
050928,0440,8.01
050930,0407,4.15
050930,0425,4.67
050931,0419,26
050932,0401,20
050933,0406,15.33
050938,0407,2
050938,0435,2.82
050938,0439,1.67
050940,0407,2.57
050940,0409,2.65
050940,0410,3.42
050940,0424,3.46
050940,0425,3.17
050940,0433,3.42
050940,0435,3.13
050940,0436,3.02
050940,0439,2.5
050940,0440,2.86
050969,0434,10
050994,0424,5.8
050994,0435,0.83
051018,0410,1.87
051018,0433,2.17
051018,0434,12
051019,0410,3.14
051019,0424,2.25
051019,0425,2.92
051019,0436,3.05
051048,0405,7
051048,0421,4.5
051048,0422,11.23
051049,0404,13
051049,0416,4.5
051050,0401,35
051050,0405,20.57
051050,0419,25
051050,0420,28
051050,0421,26
051051,0402,56.63
051051,0406,45.25
051051,0418,48
051051,0421,58
051052,0402,43
051052,0406,58.73
051052,0408,53.65
051052,0418,53.65
051052,0419,53.65
051052,0421,41
051053,0402,56.11
051053,0403,40.56
051053,0406,58.78
051053,0421,51
051054,0421,190
051056,0401,66
051056,0402,60.3
051056,0403,53.46
051056,0406,60.61
051056,0418,58.18
051056,0419,56.89
051056,0421,55.52
051058,0401,30
051058,0403,32
051058,0406,30
051058,0418,35
051058,0437,27
051059,0420,18
051059,0437,14
051060,0402,38.5
051060,0406,44.32
051061,0401,34
051061,0403,26.11
051061,0406,26.29
051061,0418,22.69
051061,0419,26
051061,0421,23.18
051079,0404,5.02
051079,0407,5.02
051079,0409,5.52
051079,0410,4.12
051079,0424,5.42
051079,0425,6.5
051079,0433,6.33
051079,0439,5.85
051079,0440,4.37
051080,0408,3.37
051080,0409,3.09
051081,0409,2.63
051081,0433,3.84
051082,0408,4.73
051082,0434,4.25
051083,0408,3.95
051083,0434,4
051108,0404,8.21
051108,0405,4.33
051108,0422,12.67
051121,0404,7.61
051121,0405,6
051121,0407,7.65
051121,0408,6.59
051121,0409,12
051121,0424,9.26
051121,0433,10
051121,0437,5.75
051121,0440,5.87
