T,item,J,M,D,"amount of item (x_i,j,t)","penalty(u_i,t)",required delivery date,P,C,urgent? Yes/No
1,K04033,0404,12.84,318,,,2021-05-13,2,25870,1
1,K04033,0422,4,318,,,2021-05-13,2,25870,1
1,K04033,0435,9,318,,,2021-05-13,2,25870,1
1,K04033,0409,10.33,318,,,2021-05-13,2,25870,1
1,K04031,0409,5.37,383,,,2021.5.24,2,16229,1
1,K04031,0416,2.73,383,,,2021.5.24,2,16229,1
1,K04031,0426,6.25,383,,,2021.5.24,2,16229,1
1,K04031,0435,3.8,383,,,2021.5.24,2,16229,1
2,K04037,0401,1.17,20,,,2021.7.15,2,7810,0
2,K04037,0409,3.89,20,,,2021.7.15,2,7810,0
2,K04037,0426,2.2,20,,,2021.7.15,2,7810,0
2,K04037,0435,4.62,20,,,2021.7.15,2,7810,0
2,K04046,0409,3.61,370,,,2021.7.1,2,9416,0
2,K04046,0426,3.14,370,,,2021.7.1,2,9416,0
2,K04046,0435,3.76,370,,,2021.7.1,2,9416,0
2,K04046,0411,5,370,,,2021.7.1,2,9416,0
3,K04101,0408,8.17,15,,,2021.5.30,1,15640,0
3,K04101,0409,10.62,15,,,2021.5.30,1,15640,0
3,K04101,0425,9.32,15,,,2021.5.30,1,15640,0
3,K04101,0426,11.21,15,,,2021.5.30,1,15640,0
3,061088,0408,4.42,48,,,2021.6.5,1,11500,0
3,061088,0409,5.63,48,,,2021.6.5,1,11500,0
3,061088,0416,5,48,,,2021.6.5,1,11500,0
3,061088,0437,3.5,48,,,2021.6.5,1,11500,0
4,062716,0409,10.3,120,,,2021.6.21,2,27590,0
4,062716,0410,9.82,120,,,2021.6.21,2,27590,0
4,062716,0416,11.6,120,,,2021.6.21,2,27590,0
4,062716,0434,10,120,,,2021.6.21,2,27590,0
4,061606,0409,4.79,72,,,2021.7.14,2,14448,0
4,061606,0410,4.07,72,,,2021.7.14,2,14448,0
4,061606,0416,4.8,72,,,2021.7.14,2,14448,0
4,061606,0434,6.42,72,,,2021.7.14,2,14448,0
5,062330,0404,4.5,40,,,2021.7.15,1,13099,0
5,062330,0408,5.42,40,,,2021.7.15,1,13099,0
5,062330,0426,26,40,,,2021.7.15,1,13099,0
5,062330,0435,4,40,,,2021.7.15,1,13099,0
5,061218,0404,4.67,20,,,2021.7.21,1,35100,0
5,061218,0408,5.67,20,,,2021.7.21,1,35100,0
5,061218,0426,5.86,20,,,2021.7.21,1,35100,0
5,061218,0434,4.67,20,,,2021.7.21,1,35100,0
6,057386,0404,9.86,144,,,2021.6.1,2,22750,0
6,057386,0408,6.23,144,,,2021.6.1,2,22750,0
6,057386,0426,1.44,144,,,2021.6.1,2,22750,0
6,057386,0435,8.68,144,,,2021.6.1,2,22750,0
6,057791,0401,5.88,216,,,2021.6.3,2,42810,0
6,057791,0422,11.37,216,,,2021.6.3,2,42810,0
6,057791,0424,7.85,216,,,2021.6.3,2,42810,0
6,057791,0437,5.49,216,,,2021.6.3,2,42810,0
,,,,,,,,,,
