variable,solution
"u_K04031,0",0.0
"u_K04031,1",1.0
"u_K04031,10",0.0
"u_K04031,11",0.0
"u_K04031,12",0.0
"u_K04031,13",0.0
"u_K04031,14",0.0
"u_K04031,15",0.0
"u_K04031,16",0.0
"u_K04031,17",0.0
"u_K04031,18",0.0
"u_K04031,19",0.0
"u_K04031,2",0.0
"u_K04031,20",0.0
"u_K04031,21",0.0
"u_K04031,22",0.0
"u_K04031,23",0.0
"u_K04031,24",0.0
"u_K04031,25",0.0
"u_K04031,26",0.0
"u_K04031,27",0.0
"u_K04031,28",0.0
"u_K04031,29",0.0
"u_K04031,3",0.0
"u_K04031,30",0.0
"u_K04031,31",0.0
"u_K04031,32",0.0
"u_K04031,33",0.0
"u_K04031,34",0.0
"u_K04031,35",0.0
"u_K04031,36",0.0
"u_K04031,37",0.0
"u_K04031,38",0.0
"u_K04031,39",0.0
"u_K04031,4",0.0
"u_K04031,40",0.0
"u_K04031,41",0.0
"u_K04031,42",0.0
"u_K04031,43",0.0
"u_K04031,44",0.0
"u_K04031,45",0.0
"u_K04031,46",0.0
"u_K04031,47",0.0
"u_K04031,5",0.0
"u_K04031,6",0.0
"u_K04031,7",0.0
"u_K04031,8",0.0
"u_K04031,9",0.0
"u_K04033,0",0.0
"u_K04033,1",26.0
"u_K04033,10",0.0
"u_K04033,11",0.0
"u_K04033,12",0.0
"u_K04033,13",0.0
"u_K04033,14",0.0
"u_K04033,15",0.0
"u_K04033,16",0.0
"u_K04033,17",0.0
"u_K04033,18",0.0
"u_K04033,19",0.0
"u_K04033,2",0.0
"u_K04033,20",0.0
"u_K04033,21",0.0
"u_K04033,22",0.0
"u_K04033,23",0.0
"u_K04033,24",0.0
"u_K04033,25",0.0
"u_K04033,26",0.0
"u_K04033,27",0.0
"u_K04033,28",0.0
"u_K04033,29",0.0
"u_K04033,3",0.0
"u_K04033,30",0.0
"u_K04033,31",0.0
"u_K04033,32",0.0
"u_K04033,33",0.0
"u_K04033,34",0.0
"u_K04033,35",0.0
"u_K04033,36",0.0
"u_K04033,37",0.0
"u_K04033,38",0.0
"u_K04033,39",0.0
"u_K04033,4",0.0
"u_K04033,40",0.0
"u_K04033,41",0.0
"u_K04033,42",0.0
"u_K04033,43",0.0
"u_K04033,44",0.0
"u_K04033,45",0.0
"u_K04033,46",0.0
"u_K04033,47",0.0
"u_K04033,5",0.0
"u_K04033,6",0.0
"u_K04033,7",0.0
"u_K04033,8",0.0
"u_K04033,9",0.0
"u_K04037,0",0.0
"u_K04037,1",0.0
"u_K04037,10",0.0
"u_K04037,11",0.0
"u_K04037,12",0.0
"u_K04037,13",0.0
"u_K04037,14",0.0
"u_K04037,15",0.0
"u_K04037,16",0.0
"u_K04037,17",0.0
"u_K04037,18",0.0
"u_K04037,19",0.0
