No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
1,A21032400AM,KBA006830,K04033,B9200078677,MAIN BEARING STUD,SNCM439, Φ40, 523 , 318 ,1637,2021-05-13,검사품,CNC2차(62),-2,현대중공업,긴급," 25,870 "
2,D21033000E3,KBA007332/KBA007295,K04031,B9200078808,SIDE BOLT,SNCM439, Φ40, 329 , 383 ,1254,2021-05-24,검사품,CNC2차(269),1,현대중공업,긴급," 16,229 "
3,D2105250056,,069622,3E-26068-00,"screw,hexagon head",SNCM439, Φ38, 200 , 20 ,36,2021-05-30,,CNC2차대기-20210531,2,중산,긴급," 5,409 "
4,D210525000E,,051718,3D-76879-5,SCREW,SCM435, Φ50, 235 , 19 ,70,2021-05-30,,CNC1차대기-20210528,1,중산,긴급," 8,333 "
5,A210513009C,4200306255-40,056984,5119245-2.1,"STUD,REDUCED SHANK",SNCM439, Φ35, 373 , 4 ,11,2021-06-03,,CNC1차대기-20210531,4,MAN Energy Solutions-(수출),긴급," 36,533 "
6,A210329001U,KBB000816/KBA007328,057791,B9211183864/BH901209110/B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40, 787 , 196 ,1527,2021-06-18,검사품,CNC2차대기-20210527,-1,현대중공업,긴급," 45,500 "
7,A21042000HM,KBA007409/KBA007336,K03948,B9300413676,CYLINDER HEAD STUD,SNCM439, Φ45, 885 , 85 ,942,2021-06-18,검사품,CNC2차(0),0,현대중공업,긴급," 57,641 "
8,D191024006V-04,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-02-10,,CNC1차(0),-577,,," 2,990 "
9,A2012090023,KMAR2178,052996,12-902474-0,STUD,SCM440, Φ140," 1,140 ", 2 ,50,2021-02-18,,CNC2차대기-20210107,-141,,," 20,000 "
10,D191024006V-05,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-03-10,,CNC1차(0),-577,,," 2,990 "
11,D191024006V-06,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 500 ,574,2021-04-10,,CNC1차(0),-577,,," 2,990 "
12,D191024006V-07,APOL5467,S00341,DN164-A39000-01/250R1139000,HEXAGON NUT,S45C, Φ70, 35 , 398 ,457,2021-05-10,,CNC1차(0),-577,,," 2,990 "
13,D210324009C,KBA007323,066157,BH901209230/BH204083411,SIDE STUD,SNCM439, Φ40, 322 , 208 ,667,2021-05-13,검사품,CNC2차대기-20210521,-7,현대중공업,," 18,500 "
14,A210504007C,E00I001,072412,11.49009-0381-1,TENSION SCREW,SNCM439, Φ85, 273 , 5 ,61,2021-05-30,,CNC1차대기-20210521,-5,STX엔진,," 96,950 "
15,A2105250099,,K04101,42-000023-2,STUD FOR T/V DAMPER,SNCM439, Φ35, 468 , 15 ,53,2021-05-30,,CNC1차대기-20210527,0,중산,," 15,640 "
16,A201209002K,H3042,052996,A22-268386-8.1,ELASTIC BOLT(P.K),SNCM439, Φ120," 1,139 ", 2 ,50,2021-05-30,,CNC2차대기-20210107,-141,,," 20,000 "
17,D210518007P,MINE2332P1/AVIN5852/MINE2332P2,S00271,EN61V30100/DN130-B30100-01/221R6130100,HEXAGON BOLT-Ls,SCM440, Φ30, 165 , 150 ,140,2021-05-31,,CNC1차대기-20210531,4,태양볼트,," 4,000 "
18,A21030400DH,202102020034-HHI-SN2376-8H32/40/202102020055-HHI-SN2376-6H32/40,057386,B9904692542,STUD FOR CON-ROD BIG END,SNCM439, Φ35, 461 , 144 ,504,2021-06-01,DNVGL/W,CNC2차대기-20210526,-2,하경산업,," 22,750 "
19,A19121000EE,WMAR0633,064421,12-014969-2,END CHOCK BOLT,SCM440, Φ65, 488 , 2 ,26,2021-06-01,,CNC1차대기-20200211,-470,,," 366,680 "
20,A19111300S1,WMAR0633,067603,13-020418-0,HOLD'G DOWN BOLT,SCM435, Φ45, 521 , 56 ,366,2021-06-01,,CNC1차대기-20200211,-470,,," 46,280 "
21,A2103290038,MSC 0266,062138,13-071154-0,FITTED STUD,SNCM439 QT, Φ60, 210 , 20 ,96,2021-06-02,,CNC2차대기-20210531,2,HSD엔진(주),," 18,563 "
22,A21052500B0,EURONAV_H-1894_LOE963,056984,13-064543-0,"STUD,REDUCED SHANK",SNCM439, Φ35, 373 , 4 ,11,2021-06-02,,CNC1차대기-20210531,4,HSD엔진(주),," 14,835 "
23,A210510009C,4200305913-90,072430,0781983-9.6,HOLD'G DOWN BOLT,SCM435, Φ38, 468 , 30 ,126,2021-06-03,LR ,CNC1차(0),5,MAN Energy Solutions-(수출),," 28,687 "
24,A210204002E,KBA007311/KBA007304,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40, 787 , 216 ,1682,2021-06-03,검사품,CNC2차대기-20210521,-7,현대중공업,," 42,810 "
25,A210406004M,PANT2413/KAA007365,069559,11-041261-0/A1167846500,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85, 964 , 28 ,1205,2021-06-04,검사품,CNC1차대기-20210531,4,HSD엔진(주),," 242,250 "
26,A210513009W,1DP643SD7730,058039,A1349177310,"STUD,AXIAL VIBR.DAMPER",SNCM439, Φ30, 605 , 64 ,216,2021-06-05,,CNC1차대기-20210528,1,유림공업㈜,," 23,740 "
27,A21051300AX,HMD2799/HMD2827/HMD2828,061088,A1356734070/A13-567340-7.0/5620706K2.0,"STUD,DAMPER",SCM440, Φ26, 534 , 48 ,107,2021-06-05,,CNC1차대기-20210528,1,유림공업㈜,," 11,500 "
28,D210422005Y,MINE2332P1/AET 2375/KAA007237,058799,21-018033-0-018/A2919712080,NUT FOR CYL COVER STUD,SCM440, Φ140, 81 , 93 ,944,2021-06-07,,CNC1차대기-20210529,2,현대중공업,," 28,111 "
29,A21033100DP,PLEI5066,059046,12-904786-0,STUD,SCM440, Φ30, 263 , 5 ,7,2021-06-09,,CNC1차대기-20210413,-43,HSD엔진(주),," 7,752 "
30,A21032400AN,KBA007301/KBA007102/KBA007317,K04033,B9200078677,MAIN BEARING STUD,SNCM439, Φ40, 523 , 318 ,1637,2021-06-09,검사품,CNC1차(1),5,현대중공업,," 25,870 "
31,D21040900C6,NAT2417/BC210K-9/H0316322,S00033,212.DP.130130/DN122-A30130-02,STUD BOLT,SCM440, Φ32, 177 , 178 ,202,2021-06-10,,CNC1차대기-20210423,-33,(주)화영,," 5,050 "
32,A21042900F8,3500328451-10,072312,2213326-7.1,CON ROD BOLT,SNCM439, Φ42, 389 , 330 ,1406,2021-06-10,,CNC1차(151),1,MAN Energy Solutions-(수출),," 28,661 "
33,A21051100AM,3500328943-30,064056,2174930-9.1,GUIDE,SNCM439, Φ25, 434 , 24 ,40,2021-06-10,,CNC2차대기-20210531,2,MAN Energy Solutions-(수출),," 8,134 "
34,D210504004Y,4200305241-80,071704,5951704-2.0,UNION NUT,S45C, Φ55, 63 , 40 ,49,2021-06-10,,CNC1차대기-20210520,-6,MAN Energy Solutions-(수출),," 64,785 "
35,A210413004J,4200297685-010-재료시험성적서/4200297684-010-재료시험성적서,069769,5915891-3.2,"STUD,FUEL VALVE",SNCM439, Φ28, 648 , 42 ,132,2021-06-10,,CNC2차대기-20210531,2,인화정공㈜,," 64,130 "
36,A210413004K,4200297685-010-재료시험성적서/4200297684-010-재료시험성적서,069770,5915880-5.2,"STUD,FUEL VALVE",SNCM439, Φ25, 648 , 42 ,105,2021-06-10,,CNC2차대기-20210531,2,인화정공㈜,," 64,130 "
37,A21033100FT,KAA007412,067669,A1266148521,FITTED STUD,SCM435, Φ35, 219 , 2 ,3,2021-06-10,,CNC1차대기-20210413,-43,현대중공업,," 23,000 "
